"CLAVE","CVE_GEOEST","INDICE","NOM_LOC","NOM_MUN","CAT_POLI","ORI_MODIF"
"6","010010097","9","Los Aguilares","Aguascalientes","Rancho","Censo de 1980."
"6","010010097","10","Los Aguilares","Aguascalientes","Indefinida","Censo de 1990."
"6","010010097","11","Rancho los Aguilares","Aguascalientes","","Decreto No. 162 del 30 de enero de 1992."
"6","010010097","12","","","","Pasa al municipio El Llano 010 con clave 0003."
"6","010010097","13","","","","Cambio de nombre de la localidad."
"6","010010097","14","Rancho los Aguilares","Aguascalientes","Indefinida","Conteo de 1995."
"6","010010097","15","","","","Baja de la localidad."
"7","010010098","1","El Álamo","Aguascalientes","Ejido","Censo de 1940."
"7","010010098","2","Viñedos Álamo","Aguascalientes","Ejido","Censo de 1950."
"7","010010098","3","","","","Cambio de nombre de la localidad."
"7","010010098","4","Viñedos Álamo","Aguascalientes","Ejido","Censo de 1960."
"7","010010098","5","El Álamo","Aguascalientes","Granja","Censo de 1970."
"7","010010098","6","","","","Cambio de nombre de la localidad."
"7","010010098","7","","","","Cambio de categoría política."
"7","010010098","8","El Álamo","Aguascalientes","Granja","Censo de 1980."
"7","010010098","9","El Álamo","Aguascalientes","Granja","Censo de 1990."
"7","010010098","10","","","","Baja de la localidad."
"8","010010099","1","El Álamo","Aguascalientes","Rancho","Censo de 1970."
"8","010010099","2","El Álamo","Aguascalientes","Rancho","Censo de 1980."
"8","010010099","3","","","","Baja de la localidad."
"9","010010100","1","Alegre","Aguascalientes","Rancho","Censo de 1970."
"9","010010100","2","Alegre","Aguascalientes","Rancho","Censo de 1980."
"9","010010100","3","Rancho Alegre","Aguascalientes","Indefinida","Censo de 1990."
"9","010010100","4","","","","Cambio de nombre de la localidad."
"9","010010100","5","","","","Localidad con una vivienda."
"9","010010100","6","Rancho Alegre","Aguascalientes","Indefinida","Conteo de 1995."
"9","010010100","7","","","","Localidad con una vivienda."
"9","010010100","8","Rancho Alegre","Aguascalientes","Indefinida","Censo de 2000."
"9","010010100","9","","","","Localidad no habitada."
"9","010010100","10","Rancho Alegre","Aguascalientes","Indefinida","Conteo de 2005."
"9","010010100","11","","","","Localidad no habitada."
"9","010010100","12","Rancho Alegre","Aguascalientes","Indefinida","Censo de 2010."
"10","010010101","1","Amapolas del Río","Aguascalientes","Rancho","Censo de 1940."
"10","010010101","2","Amapolas del Río","Aguascalientes","Ejido","Censo de 1950."
"10","010010101","3","Amapolas del Río","Aguascalientes","Ejido","Censo de 1960."
"10","010010101","4","Amapolas del Río","Aguascalientes","Ejido","Censo de 1970."
"10","010010101","5","Amapolas del Río","Aguascalientes","Ejido","Censo de 1980."
"10","010010101","6","Amapolas del Río","Aguascalientes","Indefinida","Censo de 1990."
"10","010010101","7","Amapolas del Río","Aguascalientes","","Decreto No. 162 del 30 de enero de 1992."
"10","010010101","8","","","","Pasa al municipio San Francisco de los Romo 011 con clave 0003."
"10","010010101","9","Amapolas del Río","Aguascalientes","Indefinida","Conteo de 1995."
"10","010010101","10","","","","Baja de la localidad."
"11","010010102","1","Los Arbolitos","Aguascalientes","Rancho","Censo de 1970."
"11","010010102","2","Los Arbolitos","Aguascalientes","Rancho","Censo de 1980."
"11","010010102","3","Los Arbolitos (Rancho de los Arbolitos)","Aguascalientes","Indefinida","Censo de 1990."
"11","010010102","4","","","","Localidad con una vivienda."
"11","010010102","5","Los Arbolitos (Rancho de los Arbolitos)","Aguascalientes","Indefinida","Conteo de 1995."
"11","010010102","6","","","","Localidad con una vivienda."
"11","010010102","7","Los Arbolitos (Rancho de los Arbolitos)","Aguascalientes","Indefinida","Censo de 2000."
"11","010010102","8","Los Arbolitos (Rancho de los Arbolitos)","Aguascalientes","Indefinida","Conteo de 2005."
"11","010010102","9","Los Arbolitos [Rancho]","Aguascalientes","Indefinida","Censo de 2010."
"12","010010104","1","Ardillas de Arriba","Aguascalientes","Rancho","Censo de 1900."
"12","010010104","2","Ardillas de Arriba","Aguascalientes","Rancho","Censo de 1910."
"12","010010104","3","Las Ardillas de Arriba 2do.","Aguascalientes","Rancho","Censo de 1921."
"12","010010104","4","","","","Cambio de nombre de la localidad."
"12","010010104","5","Ardillas de Arriba","Aguascalientes","Rancho","Censo de 1930."
"12","010010104","6","","","","Cambio de nombre de la localidad."
"12","010010104","7","","","","Localidad no habitada."
"12","010010104","8","Ardillas de Arriba","Aguascalientes","Rancho","Censo de 1940."
"12","010010104","9","Ardillas de Arriba","Aguascalientes","Rancho","Censo de 1950."
"12","010010104","10","Ardillas de Arriba","Aguascalientes","Rancho","Censo de 1960."
"12","010010104","11","","","","Localidad con una vivienda."
"12","010010104","12","","","","Localidad no habitada."
"12","010010104","13","Ardillas de Arriba","Aguascalientes","Rancho","Censo de 1970."
"12","010010104","14","Ardillas de Arriba","Aguascalientes","Rancho","Censo de 1980."
"12","010010104","15","Ardillas de Arriba (Las Ardillas)","Aguascalientes","Indefinida","Censo de 1990."
"12","010010104","16","","","","Localidad con una vivienda."
"12","010010104","17","Ardillas de Arriba (Las Ardillas)","Aguascalientes","Indefinida","Conteo de 1995."
"12","010010104","18","","","","Localidad con dos viviendas."
"12","010010104","19","Ardillas de Abajo (Las Ardillas)","Aguascalientes","Indefinida","Censo de 2000."
"12","010010104","20","","","","Cambio de nombre de la localidad."
"12","010010104","21","","","","Localidad no habitada."
"12","010010104","22","Ardillas de Abajo (Las Ardillas)","Aguascalientes","Indefinida","Conteo de 2005."
"12","010010104","23","","","","Localidad no habitada."
"12","010010104","24","Ardillas de Abajo (Las Ardillas)","Aguascalientes","Indefinida","Censo de 2010."
"13","010010105","1","Ardillas de Abajo","Aguascalientes","Rancho","Censo de 1900."
"13","010010105","2","Ardillas de Abajo","Aguascalientes","Rancho","Censo de 1910."
"13","010010105","3","Las Ardillas de Abajo 1ro.","Aguascalientes","Rancho","Censo de 1921."
"13","010010105","4","","","","Cambio de nombre de la localidad."
"13","010010105","5","Ardillas de Abajo","Aguascalientes","Rancho","Censo de 1930."
"13","010010105","6","","","","Cambio de nombre de la localidad."
"13","010010105","7","Ardillas de Abajo","Aguascalientes","Rancho","Censo de 1940."
"13","010010105","8","Ardillas de Abajo","Aguascalientes","Rancho","Censo de 1950."
"13","010010105","9","Ardillas de Abajo","Aguascalientes","Rancho","Censo de 1960."
"13","010010105","10","","","","Localidad no habitada."
"13","010010105","11","Las Ardillas 1ro.","Aguascalientes","Rancho","Censo de 1970."
"13","010010105","12","","","","Cambio de nombre de la localidad."
"13","010010105","13","Ardillas de Abajo (Las Ardillas)","Aguascalientes","Rancho","Censo de 1980."
"13","010010105","14","","","","Cambio de nombre de la localidad."
"13","010010105","15","Ardillas de Abajo (Las Ardillas)","Aguascalientes","","Decreto No. 162 del 30 de enero de 1992."
"13","010010105","16","","","","Pasa al municipio El Llano 010 con clave 0006."
"13","010010105","17","Ardillas de Abajo (Las Ardillas)","Aguascalientes","Indefinida","Conteo de 1995."
"13","010010105","18","","","","Baja de la localidad."
"14","010010106","1","Arellano","Aguascalientes","Rancho","Censo de 1910."
"14","010010106","2","Arellano","Aguascalientes","Rancho","Censo de 1921."
"14","010010106","3","","","","Baja de la localidad."
"14","010010106","4","Arellano","Aguascalientes","Rancho","Censo de 1940."
"14","010010106","5","","","","Localidad rehabilitada."
"14","010010106","6","Arellano","Aguascalientes","Ejido","Censo de 1950."
"14","010010106","7","Arellano","Aguascalientes","Ejido","Censo de 1960."
"14","010010106","8","Arellano","Aguascalientes","Ejido","Censo de 1970."
"14","010010106","9","Arellano","Aguascalientes","Rancho","Censo de 1980."
"14","010010106","10","Arellano","Aguascalientes","Indefinida","Censo de 1990."
"14","010010106","11","Arellano","Aguascalientes","Indefinida","Conteo de 1995."
"14","010010106","12","Arellano","Aguascalientes","Indefinida","Censo de 2000."
"14","010010106","13","Arellano","Aguascalientes","Indefinida","Conteo de 2005."
"14","010010106","14","Arellano","Aguascalientes","Indefinida","Censo de 2010."
"15","010010107","1","Arrieros","Aguascalientes","Rancho","Censo de 1900."
"15","010010107","2","Arrieros","Aguascalientes","Rancho","Censo de 1910."
"15","010010107","3","Los Arrieros","Aguascalientes","Rancho","Censo de 1921."
"15","010010107","4","Los Arrieros","Aguascalientes","Rancho","Censo de 1930."
"15","010010107","5","Los Arrieros","Aguascalientes","Rancho","Censo de 1940."
"15","010010107","6","Los Arrieros","Aguascalientes","Rancho","Censo de 1950."
"15","010010107","7","Los Arrieros","Aguascalientes","Rancho","Censo de 1960."
"15","010010107","8","","","","Localidad no habitada."
"15","010010107","9","Los Arrieros","Aguascalientes","Rancho","Censo de 1970."
"15","010010107","10","Los Arrieros","Aguascalientes","Rancho","Censo de 1980."
"15","010010107","11","Los Arrieros","Aguascalientes","Indefinida","Censo de 1990."
"15","010010107","12","","","","Localidad con dos viviendas."
"15","010010107","13","Los Arrieros","Aguascalientes","","Decreto No. 162 del 30 de enero de 1992."
"15","010010107","14","","","","Pasa al municipio El Llano 010 con clave 0007."
"15","010010107","15","Los Arrieros","Aguascalientes","Indefinida","Conteo de 1995."
"15","010010107","16","","","","Baja de la localidad."
"16","010010108","1","La Asunción","Aguascalientes","Granja","Censo de 1970."
"16","010010108","2","La Asunción","Aguascalientes","Granja","Censo de 1980."
"16","010010108","3","","","","Baja de la localidad."
"17","010010109","1","El Atilano","Aguascalientes","Rancho","Censo de 1970."
"17","010010109","2","El Atilano","Aguascalientes","Rancho","Censo de 1980."
"17","010010109","3","","","","Baja de la localidad."
"18","010010110","1","La Aurora","Aguascalientes","Rancho","Censo de 1950."
"18","010010110","2","La Aurora","Aguascalientes","Rancho","Censo de 1960."
"18","010010110","3","","","","Localidad no habitada."
"18","010010110","4","La Aurora","Aguascalientes","Rancho","Censo de 1970."
"18","010010110","5","La Aurora","Aguascalientes","Rancho","Censo de 1980."
"18","010010110","6","La Aurora","Aguascalientes","Indefinida","Censo de 1990."
"18","010010110","7","","","","Baja de la localidad."
"19","010010112","1","Bajío","Aguascalientes","Rancho","Censo de 1900."
"19","010010112","2","Bajío","Aguascalientes","Rancho","Censo de 1910."
"19","010010112","3","El Bajío","Aguascalientes","Rancho","Censo de 1921."
"19","010010112","4","El Bajío","Aguascalientes","Rancho","Censo de 1930."
"19","010010112","5","El Bajío","Aguascalientes","Rancho","Censo de 1940."
"19","010010112","6","El Bajío de los Vázquez","Aguascalientes","Rancho","Censo de 1950."
"19","010010112","7","","","","Cambio de nombre de la localidad."
"19","010010112","8","El Bajío de los Vázquez","Aguascalientes","Rancho","Censo de 1960."
"19","010010112","9","Bajío de los Vázquez","Aguascalientes","Rancho","Censo de 1970."
"19","010010112","10","Bajío de los Vázquez","Aguascalientes","Rancho","Censo de 1980."
"19","010010112","11","Bajío de los Vázquez","Aguascalientes","Indefinida","Censo de 1990."
"19","010010112","12","Bajío los Vázquez","Aguascalientes","Indefinida","Conteo de 1995."
"19","010010112","13","","","","Cambio de nombre de la localidad."
"19","010010112","14","Bajío los Vázquez","Aguascalientes","Indefinida","Censo de 2000."
"19","010010112","15","Bajío los Vázquez","Aguascalientes","Indefinida","Conteo de 2005."
"19","010010112","16","Bajío los Vázquez","Aguascalientes","Indefinida","Censo de 2010."
"20","010010113","1","El Bajío","Aguascalientes","Rancho","Censo de 1970."
"20","010010113","2","El Bajío (Bajío de Montoro)","Aguascalientes","Rancho","Censo de 1980."
"20","010010113","3","El Bajío","Aguascalientes","Indefinida","Censo de 1990."
"20","010010113","4","","","","Localidad con una vivienda."
"20","010010113","5","Bajío de Montoro","Aguascalientes","Indefinida","Conteo de 1995."
"20","010010113","6","","","","Cambio de nombre de la localidad."
"20","010010113","7","","","","Localidad con una vivienda."
"20","010010113","8","Bajío de Montoro","Aguascalientes","Indefinida","Censo de 2000."
"20","010010113","9","Bajío de Montoro","Aguascalientes","Indefinida","Conteo de 2005."
"20","010010113","10","Bajío de Montoro","Aguascalientes","Indefinida","Censo de 2010."
"20","010010113","11","","","","Localidad no habitada."
"21","010010114","1","Los Baños la Cantera","Aguascalientes","Rancho","Censo de 1970."
"21","010010114","2","Los Baños la Cantera","Aguascalientes","Rancho","Censo de 1980."
"21","010010114","3","Los Baños la Cantera","Aguascalientes","Indefinida","Censo de 1990."
"21","010010114","4","","","","Baja de la localidad."
"21","010010114","5","Residencial San Nicolás (Baños la Cantera)","Aguascalientes","Indefinida","Conteo de 2005."
"21","010010114","6","","","","Localidad rehabilitada."
"21","010010114","7","","","","Cambio de nombre de la localidad."
"21","010010114","8","Residencial San Nicolás [Baños la Cantera]","Aguascalientes","Indefinida","Censo de 2010."
"22","010010115","1","La Barranca 3ro.","Aguascalientes","Rancho","Censo de 1960."
"22","010010115","2","La Barranca","Aguascalientes","Rancho","Censo de 1970."
"22","010010115","3","","","","Cambio de nombre de la localidad."
"22","010010115","4","La Barranca","Aguascalientes","Rancho","Censo de 1980."
"22","010010115","5","","","","Baja de la localidad."
"23","010010116","1","El Barranco","Aguascalientes","Ejido","Censo de 1970."
"23","010010116","2","El Barranco","Aguascalientes","Ejido","Censo de 1980."
"23","010010116","3","El Barranco","Aguascalientes","Indefinida","Censo de 1990."
"23","010010116","4","","","","Localidad conurbada a la localidad San Francisco de los Romo 0001."
"24","010010117","1","Barranco","Aguascalientes","Rancho","Censo de 1900."
"24","010010117","2","Barranco","Aguascalientes","Rancho","Censo de 1910."
"24","010010117","3","El Barranco","Aguascalientes","Rancho","Censo de 1921."
"24","010010117","4","El Barranco","Aguascalientes","Rancho","Censo de 1930."
"24","010010117","5","El Barranco","Aguascalientes","Rancho","Censo de 1940."
"24","010010117","6","El Barranco","Aguascalientes","Rancho","Censo de 1950."
"24","010010117","7","El Barranco","Aguascalientes","Rancho","Censo de 1960."
"24","010010117","8","El Barranco","Aguascalientes","Rancho","Censo de 1970."
"24","010010117","9","El Barranco (La Hacienda)","Aguascalientes","Granja","Censo de 1980."
"24","010010117","10","El Barranco (La Hacienda)","Aguascalientes","Indefinida","Censo de 1990."
"24","010010117","11","","","","Baja de la localidad."
"25","010010119","1","El Bordo","Aguascalientes","Rancho","Censo de 1970."
"25","010010119","2","El Bordo","Aguascalientes","Rancho","Censo de 1980."
"25","010010119","3","","","","Baja de la localidad."
"26","010010120","1","Buenavista","Aguascalientes","Rancho","Censo de 1900."
"26","010010120","2","Buenavista","Aguascalientes","Rancho","Censo de 1910."
"26","010010120","3","Buenavista","Aguascalientes","Rancho","Censo de 1921."
"26","010010120","4","Buenavista 1ro.","Aguascalientes","Rancho","Censo de 1930."
"26","010010120","5","","","","Cambio de nombre de la localidad."
"26","010010120","6","Buenavista de Peñuelas","Aguascalientes","Rancho","Censo de 1940."
"26","010010120","7","","","","Cambio de nombre de la localidad."
"26","010010120","8","Buenavista de Peñuelas","Aguascalientes","Rancho","Censo de 1950."
"26","010010120","9","Buenavista de Peñuelas","Aguascalientes","Rancho","Censo de 1960."
"26","010010120","10","Buenavista","Aguascalientes","Ejido","Censo de 1970."
"26","010010120","11","","","","Cambio de nombre de la localidad."
"26","010010120","12","","","","Cambio de categoría política."
"26","010010120","13","Buenavista de Peñuelas","Aguascalientes","Ejido","Censo de 1980."
"26","010010120","14","","","","Cambio de nombre de la localidad."
"26","010010120","15","Buenavista de Peñuelas","Aguascalientes","Indefinida","Censo de 1990."
"26","010010120","16","Buenavista de Peñuelas","Aguascalientes","Indefinida","Conteo de 1995."
"26","010010120","17","Buenavista de Peñuelas","Aguascalientes","Indefinida","Censo de 2000."
"26","010010120","18","Buenavista de Peñuelas","Aguascalientes","Indefinida","Conteo de 2005."
"26","010010120","19","Buenavista de Peñuelas","Aguascalientes","Indefinida","Censo de 2010."
"27","010010121","1","Cabecita","Aguascalientes","Rancho","Censo de 1900."
"27","010010121","2","Cabecita","Aguascalientes","Rancho","Censo de 1910."
"27","010010121","3","Cabecita","Aguascalientes","Rancho","Censo de 1921."
"27","010010121","4","","","","Localidad no habitada."
"27","010010121","5","Cabecita","Aguascalientes","Rancho","Censo de 1930."
"27","010010121","6","Cabecita","Aguascalientes","Rancho","Censo de 1940."
"27","010010121","7","Cabecita Tres Marías","Aguascalientes","Ejido","Censo de 1950."
"27","010010121","8","","","","Cambio de nombre de la localidad."
"27","010010121","9","","","","Cambio de categoría política."
"27","010010121","10","Cabecita Tres Marías","Aguascalientes","Ejido","Censo de 1960."
"27","010010121","11","Cabecita Tres Marías","Aguascalientes","Ejido","Censo de 1970."
"27","010010121","12","Cabecita Tres Marías (Rancho Nuevo)","Aguascalientes","Ejido","Censo de 1980."
"27","010010121","13","Cabecita Tres Marías (Rancho Nuevo)","Aguascalientes","Indefinida","Censo de 1990."
"27","010010121","14","Cabecita Tres Marías (Rancho Nuevo)","Aguascalientes","Indefinida","Conteo de 1995."
"27","010010121","15","Cabecita 3 Marías (Rancho Nuevo)","Aguascalientes","Indefinida","Censo de 2000."
"27","010010121","16","Cabecita 3 Marías (Rancho Nuevo)","Aguascalientes","Indefinida","Conteo de 2005."
"27","010010121","17","Cabecita 3 Marías (Rancho Nuevo)","Aguascalientes","Indefinida","Censo de 2010."
"28","010010122","1","La Calavera","Aguascalientes","Rancho","Censo de 1921."
"28","010010122","2","La Calavera","Aguascalientes","Rancho","Censo de 1930."
"28","010010122","3","La Calavera","Aguascalientes","Rancho","Censo de 1940."
"28","010010122","4","La Calavera","Aguascalientes","Rancho","Censo de 1950."
"28","010010122","5","La Calavera","Aguascalientes","Rancho","Censo de 1960."
"28","010010122","6","","","","Localidad no habitada."
"28","010010122","7","La Calavera","Aguascalientes","Rancho","Censo de 1970."
"28","010010122","8","La Calavera","Aguascalientes","Rancho","Censo de 1980."
"28","010010122","9","La Calavera","Aguascalientes","Indefinida","Censo de 1990."
"28","010010122","10","","","","Localidad no habitada."
"28","010010122","11","La Calavera","Aguascalientes","","Decreto No. 162 del 30 de enero de 1992."
"28","010010122","12","","","","Pasa al municipio El Llano 010 con clave 0011."
"28","010010122","13","La Calavera","Aguascalientes","Indefinida","Conteo de 1995."
"28","010010122","14","","","","Baja de la localidad."
"29","010010123","1","La Cantera de Arriba","Aguascalientes","Rancho","Censo de 1970."
"29","010010123","2","La Cantera de Arriba","Aguascalientes","Rancho","Censo de 1980."
"29","010010123","3","","","","Baja de la localidad."
"30","010010124","1","Cantera","Aguascalientes","Hacienda","Censo de 1900."
"30","010010124","2","Cantera","Aguascalientes","Hacienda","Censo de 1910."
"30","010010124","3","La Cantera","Aguascalientes","Hacienda","Censo de 1921."
"30","010010124","4","La Cantera","Aguascalientes","Hacienda","Censo de 1930."
"30","010010124","5","La Cantera","Aguascalientes","Hacienda","Censo de 1940."
"30","010010124","6","La Cantera","Aguascalientes","Hacienda","Censo de 1950."
"30","010010124","7","La Cantera","Aguascalientes","Hacienda","Censo de 1960."
"30","010010124","8","La Cantera","Aguascalientes","Rancho","Censo de 1970."
"30","010010124","9","La Cantera (Ciudad de los Niños)","Aguascalientes","Rancho","Censo de 1980."
"30","010010124","10","La Cantera","Aguascalientes","Indefinida","Censo de 1990."
"30","010010124","11","La Cantera","Aguascalientes","Indefinida","Conteo de 1995."
"30","010010124","12","","","","Localidad no habitada."
"30","010010124","13","La Cantera","Aguascalientes","Indefinida","Censo de 2000."
"30","010010124","14","","","","Localidad no habitada."
"30","010010124","15","La Cantera","Aguascalientes","Indefinida","Conteo de 2005."
"30","010010124","16","","","","Baja de la localidad."
"31","010010125","1","Cañada Grande de Cotorina","Aguascalientes","Rancho","Censo de 1970."
"31","010010125","2","Cañada Grande de Cotorina (Cañada Grande)","Aguascalientes","Rancho","Censo de 1980."
"31","010010125","3","Cañada Grande de Cotorina","Aguascalientes","Indefinida","Censo de 1990."
"31","010010125","4","Cañada Grande de Cotorina","Aguascalientes","Indefinida","Conteo de 1995."
"31","010010125","5","Cañada Grande de Cotorina","Aguascalientes","Indefinida","Censo de 2000."
"31","010010125","6","Cañada Grande de Cotorina","Aguascalientes","Indefinida","Conteo de 2005."
"31","010010125","7","Cañada Grande de Cotorina","Aguascalientes","Indefinida","Censo de 2010."
"32","010010126","1","Cañada Honda","Aguascalientes","Rancho","Censo de 1900."
"32","010010126","2","Cañada Honda","Aguascalientes","Hacienda","Censo de 1910."
"32","010010126","3","Cañada Honda","Aguascalientes","Hacienda","Censo de 1921."
"32","010010126","4","Cañada Honda","Aguascalientes","Hacienda","Censo de 1930."
"32","010010126","5","Cañada Honda","Aguascalientes","Hacienda","Censo de 1940."
"32","010010126","6","Cañada Honda","Aguascalientes","Congregación","Censo de 1950."
"32","010010126","7","Cañada Honda","Aguascalientes","Congregación","Censo de 1960."
"32","010010126","8","José María Morelos","Aguascalientes","Congregación","Censo de 1970."
"32","010010126","9","","","","Cambio de nombre de la localidad."
"32","010010126","10","José María Morelos","Aguascalientes","Congregación","Censo de 1980."
"32","010010126","11","Estación Cañada Honda","Aguascalientes","Indefinida","Censo de 1990."
"32","010010126","12","","","","Cambio de nombre de la localidad."
"32","010010126","13","Estación Cañada Honda","Aguascalientes","Indefinida","Conteo de 1995."
"32","010010126","14","Estación Cañada Honda","Aguascalientes","Indefinida","Censo de 2000."
"32","010010126","15","Estación Cañada Honda","Aguascalientes","Indefinida","Conteo de 2005."
"32","010010126","16","Cañada Honda [Estación]","Aguascalientes","Indefinida","Censo de 2010."
"33","010010127","1","Los Caños","Aguascalientes","Ejido","Censo de 1940."
"33","010010127","2","Los Caños","Aguascalientes","Ejido","Censo de 1950."
"33","010010127","3","Los Caños","Aguascalientes","Ejido","Censo de 1960."
"33","010010127","4","Los Caños","Aguascalientes","Ejido","Censo de 1970."
"33","010010127","5","Los Caños","Aguascalientes","Ejido","Censo de 1980."
"33","010010127","6","Los Caños","Aguascalientes","Indefinida","Censo de 1990."
"33","010010127","7","Los Caños","Aguascalientes","Indefinida","Conteo de 1995."
"33","010010127","8","Los Caños","Aguascalientes","Indefinida","Censo de 2000."
"33","010010127","9","Los Caños","Aguascalientes","Indefinida","Conteo de 2005."
"33","010010127","10","Los Caños","Aguascalientes","Indefinida","Censo de 2010."
"34","010010128","1","Cariñán","Aguascalientes","Granja","Censo de 1970."
"34","010010128","2","Granjas Cariñán","Aguascalientes","Granja","Censo de 1980."
"34","010010128","3","","","","Cambio de nombre de la localidad."
"34","010010128","4","Granjas Cariñán","Aguascalientes","Indefinida","Censo de 1990."
"34","010010128","5","El Cariñán","Aguascalientes","Indefinida","Conteo de 1995."
"34","010010128","6","","","","Cambio de nombre de la localidad."
"34","010010128","7","El Cariñán","Aguascalientes","Indefinida","Censo de 2000."
"34","010010128","8","El Cariñán","Aguascalientes","Indefinida","Conteo de 2005."
"34","010010128","9","El Cariñán","Aguascalientes","Indefinida","Censo de 2010."
"35","010010129","1","Carmen","Aguascalientes","Rancho","Censo de 1910."
"35","010010129","2","El Carmen","Aguascalientes","Rancho","Censo de 1930."
"35","010010129","3","El Carmen","Aguascalientes","Rancho","Censo de 1940."
"35","010010129","4","El Carmen 1ro.","Aguascalientes","Rancho","Censo de 1950."
"35","010010129","5","","","","Cambio de nombre de la localidad."
"35","010010129","6","El Carmen","Aguascalientes","Rancho","Censo de 1960."
"35","010010129","7","","","","Cambio de nombre de la localidad."
"35","010010129","8","","","","Localidad no habitada."
"35","010010129","9","El Carmen","Aguascalientes","Granja","Censo de 1970."
"35","010010129","10","El Carmen","Aguascalientes","Granja","Censo de 1980."
"35","010010129","11","El Carmen (Granja el Carmen)","Aguascalientes","Indefinida","Censo de 1990."
"35","010010129","12","Granja el Carmen","Aguascalientes","Indefinida","Conteo de 1995."
"35","010010129","13","","","","Cambio de nombre de la localidad."
